track_id;artist_name;track_name;release_year;genre;sadness;danceability;topic;acousticness;energy
t0;mac miller;of the soul;2011;pop;0.0005159958940803;0.6057619408642911;obscene;0.6455819734758771;70.0
t1;snoop dogg;young, wild & free (feat. bruno mars);2011;pop;0.000449842611212;0.7075706704213148;obscene;0.0527098922790083;66.0
t2;lmfao;sorry for party rocking;2011;pop;0.0004244482287203;0.5830174374526157;obscene;0.0021375523469401;88.0
t3;victorious cast;make it shine (victorious theme);2011;pop;0.0006119951529022;0.4963717101700423;world/life;0.0001365463218336;93.0
t4;the decemberists;don't carry it all;2011;pop;0.0011198209104539;0.4682118488032059;violence;0.0249990210833545;84.0
t5;young the giant;apartment;2011;pop;0.4987853424069135;0.5505252897216506;sadness;0.0068865530989488;73.0
t6;a$ap rocky;purple swag;2011;pop;0.0010526315916407;0.5949312249539696;obscene;0.0458825761873254;57.0
t7;the drums;days;2011;pop;0.001196172406257;0.5678544351781653;world/life;0.3704812956639515;72.0
t8;tune-yards;powa;2011;pop;0.0372670044899105;0.7487273908805373;violence;0.6797185539342913;32.0
t9;sleeping at last;turning page;2011;pop;0.001644736994471;0.2624282465070941;world/life;0.9156625659262712;38.0
t10;benjamin francis leftwich;atlas hands;2011;pop;0.001012145796422;0.6241741579118381;world/life;0.8925701732632263;31.0
t11;blind pilot;three rounds and a sound;2011;pop;0.0006265664493961;0.6165926567746128;violence;0.8875500879016948;31.0
t12;falling in reverse;raised by wolves;2011;pop;0.3229523177525875;0.3317448283331528;violence;0.0347379866847255;87.0
t13;the head and the heart;winter song;2011;pop;0.0570079651060132;0.5180331419906856;night/time;0.8403612855032989;25.0
t14;yelawolf;let's roll;2011;pop;0.0004657662473583;0.6198418715477094;obscene;0.0003885546069825;78.0
t15;beach fossils;what a pleasure;2011;pop;0.1713566188622905;0.4996209249431388;world/life;0.0001757029876536;94.0
t16;lykke li;i follow rivers;2011;pop;0.0009233610517245;0.5819343658615834;violence;0.476907105328419;53.0
t17;big time rush;if i ruled the world;2011;pop;0.0004498425677022;0.6523340192786744;obscene;0.0166656793832122;79.0
t18;real estate;it's real;2011;pop;0.0023923446209387;0.3869814794757933;feelings;0.0093162744139301;86.0
t19;travis barker;let's go;2011;pop;0.0005370569736658;0.7108198851944114;obscene;0.1285131812381337;91.0
t20;bon iver;perth;2011;pop;0.0025062659656293;0.4400519874363695;violence;0.8584335928048121;45.0
t21;florence + the machine;seven devils;2011;pop;0.0216134493414043;0.3479909021986353;violence;0.0111435854855275;82.0
t22;lady gaga;marry the night;2011;pop;0.0005783690262484;0.598180439727066;night/time;0.0010431737381262;88.0
t23;childish gambino;you see me;2011;pop;0.0005370569552414;0.6609985920069318;obscene;0.0481918154536299;80.0
t24;forever the sickest kids;bipolar baby!;2011;pop;0.2204375064776307;0.572186721542294;night/time;0.0053905676612125;84.0
t25;flo rida;good feeling;2011;pop;0.0497590721263262;0.6978230261020254;feelings;0.0590351998345379;89.0
t26;demi lovato;fix a heart;2011;pop;0.3479364486438118;0.2938373226470269;sadness;0.564256590619067;47.0
t27;big sean;dance (a$$) remix;2011;pop;0.0005599104403879;0.785551824975631;obscene;0.0277098671785815;73.0
t28;beyoncé;i was here;2011;pop;0.0750010415329784;0.4855409942597206;world/life;0.4327303541469419;63.0
t29;lil wayne;nightmares of the bottom;2011;pop;0.0004385965179363;0.8104624715693709;obscene;0.0095672786820067;58.0
t30;rihanna;we found love;2011;pop;0.4591729723053659;0.7281490306509262;sadness;0.0250994227905851;77.0
t31;paramore;monster;2011;pop;0.0617650961623489;0.3804830499296003;world/life;2.7811272902884436e-05;97.0
t32;j. cole;cole world;2011;pop;0.0003927730108705;0.6859092386006715;obscene;0.0013744993719873;77.0
t33;dom kennedy;when i come around;2011;pop;0.0004017677943161;0.8147947579334995;obscene;0.0257018330339689;57.0
t34;drake;buried alive interlude;2011;pop;0.0476328515625414;0.7032383840571862;obscene;0.4136540297731223;54.0
t35;childish gambino;sunrise;2011;pop;0.0006578947739017;0.5245315715368787;obscene;0.0110431837782969;70.0
t36;craft spells;after the moment;2011;pop;0.0007518797373471;0.5927650817719051;romantic;0.0264046449845833;87.0
t37;avril lavigne;wish you were here;2011;pop;0.1426763159488406;0.4248889851619192;obscene;0.0324287474184211;87.0
t38;mike posner;bow chicka wow wow;2011;pop;0.0670594733874853;0.611177298819452;obscene;0.3192764249763303;67.0
t39;bon iver;towers;2011;pop;0.0018148821735509;0.3122495396945738;violence;0.9487951293123787;33.0
t40;death cab for cutie;you are a tourist;2011;pop;0.2389734278787856;0.5494422181306184;world/life;0.0002540163192934;87.0
t41;simon curtis;pit of vipers;2011;pop;0.4129591123223486;0.7248998158778296;sadness;0.2831318103733036;63.0
t42;christina perri;the lonely;2011;pop;0.50358992983462;0.1898624499079389;sadness;0.5753007784144362;27.0
t43;kelly clarkson;dark side;2011;pop;0.6873201423862471;0.5386115022202967;sadness;0.0994970878484817;86.0
t44;go radio;rolling in the deep;2011;pop;0.4371650193560136;0.5266977147189429;sadness;0.0027098420781546;78.0
t45;bon iver;calgary;2011;pop;0.0012239903218572;0.4833748510776563;violence;0.9267067537216404;47.0
t46;breathe carolina;blackout;2011;pop;0.0006835270486889;0.6501678760966101;obscene;0.0053905676612125;82.0
t47;jai paul;btstu (edit);2011;pop;0.0221445767214376;0.6534170908697066;night/time;0.7479917148511194;39.0
t48;mac miller;frick park market;2011;pop;0.0004873294764861;0.5754359363153905;obscene;0.0225893801098193;81.0
t49;wiz khalifa;hopes & dreams;2011;pop;0.0511872831646719;0.6220080147297737;obscene;0.1375493348888904;63.0
t50;ben howard;the wolves;2011;pop;0.2278814672793526;0.4562980613018521;violence;0.2730916396502406;54.0
t51;kendrick lamar;hol' up;2011;pop;0.0005425936170718;0.5905989385898408;obscene;0.784136329454146;87.0
t52;lil wayne;how to hate;2011;pop;0.0003331112944421;0.3685692624282465;obscene;0.2228907860349257;75.0
t53;coldplay;hurts like heaven;2011;pop;0.2699544652314413;0.3869814794757933;violence;0.0100391667059906;77.0
t54;a day to remember;sticks & bricks;2011;pop;0.3797240287358402;0.4368027726632731;sadness;4.628518703332032e-05;98.0
t55;hollywood undead;hear me now;2011;pop;0.0015479876908978;0.4281381999350158;world/life;0.0001997993973889;84.0
t56;sleeping with sirens;f**k you;2011;pop;0.0015479876870394;0.4292212715260479;world/life;0.0009979929698724;96.0
t57;will.i.am;hot wings (i wanna party);2011;pop;0.0008097166117685;0.7259828874688617;obscene;0.0096877607306834;70.0
t58;mandisa;good morning;2011;pop;0.0004699248705933;0.798548684068017;feelings;0.0609428322719199;88.0
t59;jesse & joy;la de la mala suerte;2011;pop;0.0175438596491234;0.5234484999458465;violence;0.0382520464377976;47.0
t60;rise against;make it stop (september's children);2011;pop;0.1892534137755711;0.3739846203834074;violence;0.0005793178507207;98.0
t61;selena gomez;shake it up;2011;pop;0.0006265664330617;0.7378966749702156;obscene;0.0426697215559453;80.0
t62;the crystals;then he kissed me;2011;pop;0.0609508835995691;0.3999783385681794;romantic;0.702810946597336;68.0
t63;wiz khalifa;wake up;2011;pop;0.0003654970917522;0.7173183147406045;obscene;0.4277102687854104;59.0
t64;birdy;people help the people;2011;pop;0.2469279632156918;0.3739846203834074;violence;0.7811242782372273;31.0
t65;rihanna;where have you been;2011;pop;0.001012145827891;0.7119029567854437;world/life;0.0020170702982633;85.0
t66;jason walker;echo;2011;pop;0.000809716650749;0.3696523340192786;violence;0.6666663319943094;45.0
t67;wale;that way (feat. jeremih & rick ross);2011;pop;0.0058479533323296;0.6729123795082855;obscene;0.0380512430233363;69.0
t68;snoop dogg;french inhale (feat. mike posner);2011;pop;0.0012531328743201;0.6198418715477094;obscene;0.1375493348888904;86.0
t69;lil wayne;she will;2011;pop;0.0004177109622198;0.3274125419690242;obscene;0.0004026108459948;84.0
t70;avicii;levels;2011;pop;0.0035087719516968;0.5819343658615834;feelings;0.0071074368548562;92.0
t71;bon iver;minnesota, wi;2011;pop;0.3746282077394113;0.5429437885844254;sadness;0.9718875219754236;35.0
t72;the civil wars;barton hollow;2011;pop;0.2094859589994582;0.3696523340192786;violence;0.1234930958766023;66.0
t73;flatsound;my heart goes bum bum bum;2011;pop;0.089674535499009;0.3425755442434745;violence;0.1987943762995746;42.0
t74;phantogram;don't move;2011;pop;0.0379805250826496;0.5375284306292646;violence;7.11848104265165e-05;64.0
t75;jessie j;price tag;2011;pop;0.000365497103982;0.6241741579118381;obscene;0.0282118757147346;83.0
t76;demi lovato;give your heart a break;2011;pop;0.6487303632107309;0.6295895158669989;sadness;0.2369470250472139;70.0
t77;lady gaga;the edge of glory;2011;pop;0.0004537205414782;0.5624390772230045;violence;0.0003433738387287;77.0
t78;ben howard;only love;2011;pop;0.5255837173970709;0.5234484999458465;sadness;0.3012041176748169;49.0
t79;the oh hellos;hello my old heart;2011;pop;0.3625934708431705;0.5364453590382325;sadness;0.6265056491020574;30.0
t80;eli young band;even if it breaks your heart;2011;pop;0.2807400673246144;0.6555832340517709;music;0.0001586346974243;53.0
t81;drake;crew love;2011;pop;0.0005980861520502;0.3858984078847612;obscene;0.2279108713964572;55.0
t82;mac miller;donald trump;2011;pop;0.0004965243444011;0.6220080147297737;obscene;0.1194770275873771;90.0
t83;j. cole;nobody's perfect;2011;pop;0.0005847953481352;0.7920502545218239;obscene;0.097790258825561;50.0
t84;ed sheeran;the a team;2011;pop;0.0005159958934097;0.6285064442759667;violence;0.6716864173558409;29.0
t85;alexandra stan;mr. saxobeat;2011;pop;0.0005847953246202;0.7032383840571862;music;0.0239950040110482;93.0
t86;falling in reverse;the drug in me is you;2011;pop;0.0005159959047324;0.5266977147189429;violence;0.0149588503602915;86.0
t87;wiz khalifa;no sleep;2011;pop;0.000326904227235;0.6404202317773205;obscene;0.1094368568643141;71.0
t88;christina perri;jar of hearts;2011;pop;0.3971603613678015;0.3111664681035416;sadness;0.7289153904772997;35.0
t89;nicki minaj;starships;2011;pop;0.0006191950683932;0.7422289613343442;obscene;0.1355413007442778;72.0
t90;the head and the heart;rivers and roads;2011;pop;0.0689533788083142;0.4682118488032059;obscene;0.7018069295250298;19.0
t91;david guetta;titanium (feat. sia);2011;pop;0.3628197024187662;0.5819343658615834;violence;0.0692761739720622;80.0
t92;drake;marvins room;2011;pop;0.0003395585826526;0.4660457056211416;obscene;0.6485940246927959;26.0
t93;foster the people;pumped up kicks;2011;pop;0.0005599104286841;0.7270659590598939;obscene;0.1455814714673408;71.0
t94;selena gomez & the scene;love you like a love song;2011;pop;0.0157561748618603;0.8624499079389149;music;0.0764046951854369;68.0
t95;ed sheeran;give me love;2011;pop;0.0008097166531369;0.5028701397162353;romantic;0.6967868441634983;33.0
t96;young the giant;cough syrup;2011;pop;0.1322457509255403;0.5115347124444927;world/life;0.0344367815630336;72.0
t97;ed sheeran;kiss me;2011;pop;0.2582232485069962;0.5711036499512618;romantic;0.6425699222589581;23.0
t98;falling in reverse;i'm not a vampire;2011;pop;0.2005674636011296;0.1876963067258745;violence;0.0089046274142845;97.0
t99;panic! at the disco;memories;2011;pop;0.5930446515428904;0.4627964908480451;sadness;0.0004738960581285;96.0
t100;a$ap rocky;peso;2011;pop;0.0008223684619723;0.5039532113072674;obscene;0.1676698470580793;83.0
t101;the ready set;killer;2011;pop;0.4929231974040559;0.630672587458031;sadness;0.1536136080457912;84.0
t102;mac miller;party on fifth ave.;2011;pop;0.0008488964686454;0.5765190079064226;obscene;0.0637540800743775;82.0
t103;rise against;satellite;2011;pop;0.0004278990516784;0.352323188562764;world/life;0.0037038189797379;94.0
t104;rihanna;birthday cake;2011;pop;0.0019493179342731;0.6934907397378968;obscene;0.3212844591209429;83.0
t105;wiz khalifa;when i'm gone;2011;pop;0.0515122729418388;0.6924076681468645;obscene;0.4979914638468513;76.0
t106;coldplay;princess of china;2011;pop;0.5378715235816891;0.3934799090219864;sadness;0.0038644617113069;69.0
t107;mac miller;another night;2011;pop;0.0005370569640269;0.5938481533629373;obscene;0.6104413759451567;58.0
t108;the cab;temporary bliss;2011;pop;0.1710401554262216;0.4292212715260479;violence;0.002448797639355;92.0
t109;panic! at the disco;trade mistakes;2011;pop;0.3052285674193075;0.4389689158453375;sadness;0.0001686748681474;80.0
t110;david guetta;she wolf (falling to pieces) (feat. sia);2011;pop;0.6860795166874398;0.4790425647135276;sadness;0.0827300027409666;86.0
t111;lil wayne;megaman;2011;pop;0.0004422821980537;0.4790425647135276;obscene;0.0114447906072194;86.0
t112;a day to remember;2nd sucks;2011;pop;0.040459235608208;0.4757933499404311;obscene;0.0001325302535444;99.0
t113;panic! at the disco;let's kill tonight;2011;pop;0.0736556552677818;0.4259720567529514;violence;0.0042961890523986;87.0
t114;drake;over my dead body;2011;pop;0.0405052866032452;0.4627964908480451;obscene;0.7620479538634076;57.0
t115;ed sheeran;small bump;2011;pop;0.0006265664679961;0.8104624715693709;romantic;0.6917667588019668;44.0
t116;adele;don't you remember;2011;pop;0.0909356429876346;0.6263403010939024;world/life;0.206826512878025;40.0
