track_id;artist_name;track_name;release_date;genre;sadness;danceability;topic;loudness;acousticness;instrumentalness;valence;energy
t0;mac miller;of the soul;2011;pop;0.0005159958940803;0.6057619408642911;obscene;0.7189959746686152;0.6455819734758771;0.0;0.3920032976092333;0.6996903206586632
t1;snoop dogg;young, wild & free (feat. bruno mars);2011;pop;0.000449842611212;0.7075706704213148;obscene;0.7494808091685254;0.0527098922790083;0.0;0.5228771640560593;0.6556449010219337
t2;lmfao;sorry for party rocking;2011;pop;0.0004244482287203;0.5830174374526157;obscene;0.8026562059328769;0.0021375523469401;0.0;0.5424567188788129;0.8778740637345229
t3;victorious cast;make it shine (victorious theme);2011;pop;0.0006119951529022;0.4963717101700423;world/life;0.8402686972796963;0.0001365463218336;0.0;0.3847897774113768;0.9339318705449058
t4;the decemberists;don't carry it all;2011;pop;0.0011198209104539;0.4682118488032059;violence;0.8032715432146245;0.0249990210833545;0.0;0.6218054410552348;0.8368317408912069
t5;young the giant;apartment;2011;pop;0.4987853424069135;0.5505252897216506;sadness;0.7297643770991974;0.0068865530989488;0.0001325910931174;0.3198680956306677;0.7337254176506813
t6;a$ap rocky;purple swag;2011;pop;0.0010526315916407;0.5949312249539696;obscene;0.6877419685665205;0.0458825761873254;0.0;0.336356141797197;0.5715581908063595
t7;the drums;days;2011;pop;0.001196172406257;0.5678544351781653;world/life;0.7156885367792221;0.3704812956639515;0.1619433198380566;0.6527205276174772;0.7217130304770278
t8;tune-yards;powa;2011;pop;0.0372670044899105;0.7487273908805373;violence;0.7229956669999744;0.6797185539342913;7.753036437246963e-05;0.5156636438582027;0.3152939311017521
t9;sleeping at last;turning page;2011;pop;0.001644736994471;0.2624282465070941;world/life;0.6966899982052662;0.9156625659262712;0.0253036437246963;0.1704451772464962;0.3793599960279039
t10;benjamin francis leftwich;atlas hands;2011;pop;0.001012145796422;0.6241741579118381;world/life;0.6093633823039253;0.8925701732632263;0.0008633603238866;0.4558944765045342;0.3082867052504542
t11;blind pilot;three rounds and a sound;2011;pop;0.0006265664493961;0.6165926567746128;violence;0.6699484655026535;0.8875500879016948;0.0020850202429149;0.4157048639736193;0.3092877375149253
t12;falling in reverse;raised by wolves;2011;pop;0.3229523177525875;0.3317448283331528;violence;0.8271671409891546;0.0347379866847255;0.0;0.518755152514427;0.8718678701476962
t13;the head and the heart;winter song;2011;pop;0.0570079651060132;0.5180331419906856;night/time;0.5482398789836678;0.8403612855032989;0.0014068825910931;0.3054410552349547;0.2532299307045424
t14;yelawolf;let's roll;2011;pop;0.0004657662473583;0.6198418715477094;obscene;0.7608389098274491;0.0003885546069825;0.0;0.2013602638087386;0.7757687727584685
t15;beach fossils;what a pleasure;2011;pop;0.1713566188622905;0.4996209249431388;world/life;0.8023741763454093;0.0001757029876536;0.9402834008097166;0.8794311624072547;0.9389370318672614
t16;lykke li;i follow rivers;2011;pop;0.0009233610517245;0.5819343658615834;violence;0.5544445299079557;0.476907105328419;0.0015485829959514;0.6011953833470732;0.5335189647564568
t17;big time rush;if i ruled the world;2011;pop;0.0004498425677022;0.6523340192786744;obscene;0.7864010460733789;0.0166656793832122;0.0;0.6846661170651276;0.7857790954031797
t18;real estate;it's real;2011;pop;0.0023923446209387;0.3869814794757933;feelings;0.774658359613363;0.0093162744139301;0.0975708502024291;0.7186727122835943;0.8568523861806293
t19;travis barker;let's go;2011;pop;0.0005370569736658;0.7108198851944114;obscene;0.7635053713816885;0.1285131812381337;0.0;0.5630667765869743;0.9099070961975988
t20;bon iver;perth;2011;pop;0.0025062659656293;0.4400519874363695;violence;0.5433940978899059;0.8584335928048121;0.5587044534412956;0.0456512778235779;0.4534363835987669
t21;florence + the machine;seven devils;2011;pop;0.0216134493414043;0.3479909021986353;violence;0.7727867087147142;0.0111435854855275;0.0006163967611336;0.2085737840065952;0.8248193537175535
t22;lady gaga;marry the night;2011;pop;0.0005783690262484;0.598180439727066;night/time;0.8008358331410403;0.0010431737381262;0.0044331983805668;0.3950948062654576;0.8798761282634652
t23;childish gambino;you see me;2011;pop;0.0005370569552414;0.6609985920069318;obscene;0.7428146552829269;0.0481918154536299;0.0;0.6826051112943115;0.8047987084281311
t24;forever the sickest kids;bipolar baby!;2011;pop;0.2204375064776307;0.572186721542294;night/time;0.7978104248391149;0.0053905676612125;0.0;0.7454657873042043;0.8428379344780338
t25;flo rida;good feeling;2011;pop;0.0497590721263262;0.6978230261020254;feelings;0.8002717739661052;0.0590351998345379;0.0028947368421052;0.6805441055234954;0.8908874831726475
t26;demi lovato;fix a heart;2011;pop;0.3479364486438118;0.2938373226470269;sadness;0.7122529036227981;0.564256590619067;0.0;0.4476504534212696;0.4694528998303049
t27;big sean;dance (a$$) remix;2011;pop;0.0005599104403879;0.785551824975631;obscene;0.7401738327820937;0.0277098671785815;0.0015890688259109;0.7372217642209398;0.730722320857268
t28;beyoncé;i was here;2011;pop;0.0750010415329784;0.4855409942597206;world/life;0.745250365356511;0.4327303541469419;0.0;0.2168178070898598;0.6276159976167424
t29;lil wayne;nightmares of the bottom;2011;pop;0.0004385965179363;0.8104624715693709;obscene;0.7567366612824654;0.0095672786820067;3.522267206477733e-06;0.3961253091508656;0.5775643843931862
t30;rihanna;we found love;2011;pop;0.4591729723053659;0.7281490306509262;sadness;0.799220572776453;0.0250994227905851;0.0013967611336032;0.5939818631492167;0.7667594823782282
t31;paramore;monster;2011;pop;0.0617650961623489;0.3804830499296003;world/life;0.8475758275004486;2.7811272902884436e-05;0.0007621457489878;0.3610882110469909;0.9699690320658664
t32;j. cole;cole world;2011;pop;0.0003927730108705;0.6859092386006715;obscene;0.6881009153142066;0.0013744993719873;0.0;0.4899010717230008;0.7687615469071706
t33;dom kennedy;when i come around;2011;pop;0.0004017677943161;0.8147947579334995;obscene;0.7223803297182267;0.0257018330339689;0.0;0.5527617477328937;0.568555094012946
